STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,GEOID_2020,COUNTY,StateDesc,STATEABBR,LOCATION,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,SPL_EJI_CBM,RPL_EJI_CBM,E_MINRTY,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,E_POV200,EPL_POV200,E_NOHSDP,EPL_NOHSDP,E_UNEMP,EPL_UNEMP,E_RENTER,EPL_RENTER,E_HOUBDN,EPL_HOUBDN,E_UNINSUR,EPL_UNINSUR,E_NOINT,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,E_AGE65,EPL_AGE65,E_AGE17,EPL_AGE17,E_DISABL,EPL_DISABL,E_LIMENG,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,E_MOBILE,EPL_MOBILE,E_GROUPQ,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,E_OZONE,EPL_OZONE,E_PM,EPL_PM,E_DSLPM,EPL_DSLPM,E_TOTCR,EPL_TOTCR,SPL_EBM_DOM1,RPL_EBM_DOM1,E_NPL,EPL_NPL,E_TRI,EPL_TRI,E_TSD,EPL_TSD,E_RMP,EPL_RMP,E_COAL,EPL_COAL,E_LEAD,EPL_LEAD,SPL_EBM_DOM2,RPL_EBM_DOM2,E_PARK,EPL_PARK,E_HOUAGE,EPL_HOUAGE,E_WLKIND,EPL_WLKIND,SPL_EBM_DOM3,RPL_EBM_DOM3,E_RAIL,EPL_RAIL,E_ROAD,EPL_ROAD,E_AIRPRT,EPL_AIRPRT,SPL_EBM_DOM4,RPL_EBM_DOM4,E_IMPWTR,EPL_IMPWTR,F_IMPWTR,SPL_EBM_DOM5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,E_ASTHMA,EPL_ASTHMA,F_ASTHMA,E_CANCER,EPL_CANCER,F_CANCER,E_CHD,EPL_CHD,F_CHD,E_MHLTH,EPL_MHLTH,F_MHLTH,E_DIABETES,EPL_DIABETES,F_DIABETES,F_HVM,RPL_HVM,E_NEHD,EPL_NEHD,SPL_CBM_DOM1,RPL_CBM_DOM1,E_BURN,EPL_BURN,E_SMOKE,EPL_SMOKE,SPL_CBM_DOM2,RPL_CBM_DOM2,E_CFLD,EPL_CFLD,F_CFLD,E_DRGT,EPL_DRGT,F_DRGT,E_HRCN,EPL_HRCN,F_HRCN,E_RFLD,EPL_RFLD,F_RFLD,E_SWND,EPL_SWND,F_SWND,E_TRND,EPL_TRND,F_TRND,SPL_CBM_DOM3,RPL_CBM_DOM3,SPL_CBM,RPL_CBM,AFAM,E_AFAM,HISP,E_HISP,ASIAN,E_ASIAN,AIAN,E_AIAN,NHPI,E_NHPI,TWOMORE,E_TWOMORE,OTHERRACE,E_OTHERRACE,Tribe_PCT_Tract,Tribe_Names,Tribe_Flag
35,001,003715,140000US35001003715,35001003715,35001003715,Bernalillo County,New Mexico,NM,Census Tract 37.15; Bernalillo County; New Mexico,3797,446,3516,0.4576,0.0656,0.2576,0.0425,1.0526,0.1205,33.3,0.5073,0.5073,0.5073,15.9336,0.2364,2,0.0951,4.1,0.4402,23.9,0.4026,22.7,0.4455,3.9,0.2758,15.4,0.6958,2.5914,0.2946,33.1,0.9586,13.5,0.1165,14.6,0.6215,0.9,0.4413,2.1379,0.6261,0,0,0,0,0,0,5.2366,0.2464,1.278,0.8855,0,0,0.1914,0.4267,20,0.0434,1.3556,0.4575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.5514,36.5,0.2982,12.2083,0.2992,1.1488,0.1015,0,0,0.2757,0.0983,0,0,0.0983,0.0449,0,0,0,0,0,2.6027,0.0112,9.8,0.2758,0,11.5,0.9301,1,7.2,0.5546,0,12.8,0.087,0,9.1,0.1557,0,1,0.2,17.2,0.847,0.847,0.847,0,0,7.5,0.4476,0.4476,0.444,0,0,1,64.2727,0.934,9,0,0,1,2.125,0.5426,9,0.3175,0.165,9,0,0,0,1.6416,0.4092,2.9362,0.595,43,1.1,988,26,75,2,28,0.7,9,0.2,121,3.2,0,0,0,-999,-999
35,001,003717,140000US35001003717,35001003717,35001003717,Bernalillo County,New Mexico,NM,Census Tract 37.17; Bernalillo County; New Mexico,4882,660,3383,0.5398,0.0935,0.3398,0.0702,1.108,0.141,48.8,0.6532,0.6532,0.6532,20.9684,0.3505,0.9,0.0366,2,0.1698,39.5,0.6342,32.1,0.7127,2.2,0.1314,12.6,0.5901,2.6253,0.3019,29.5,0.9329,14.3,0.1365,13.1,0.5267,0,0,1.5961,0.2082,0,0,0.4,0.5495,0.5495,0.2855,5.4241,0.2749,1.278,0.8855,0,0,0.243,0.5604,20,0.0434,1.4893,0.5042,0,0,0,0,50.7344,0.7004,0,0,0,0,0,0,0.7004,0.3086,100,0.5514,42.8,0.3625,11.5417,0.3386,1.2525,0.1563,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4422,0.0649,10.1,0.3565,0,9.7,0.7456,1,6.5,0.4235,0,13.6,0.1409,0,8.7,0.1216,0,1,0.2,16.6,0.795,0.795,0.795,0,0,7.5,0.4476,0.4476,0.444,0,0,1,63.3182,0.9241,9,0,0,1,2.125,0.5426,9,0.3175,0.165,9,0,0,0,1.6317,0.4052,2.8743,0.5682,33,0.7,1892,38.8,413,8.5,0,0,0,0,44,0.9,0,0,0,-999,-999
35,001,003738,140000US35001003738,35001003738,35001003738,Bernalillo County,New Mexico,NM,Census Tract 37.38; Bernalillo County; New Mexico,5266,786,3529,0.3475,0.0363,0.3475,0.0733,0.9354,0.0832,52,0.6774,0.6774,0.6774,18.9236,0.3032,1.8,0.0836,2.1,0.1819,65.9,0.8702,39.4,0.8438,3.9,0.2758,7.8,0.371,2.9295,0.3685,17.4,0.5582,15.9,0.187,11.4,0.4114,0.4,0.3193,1.4759,0.1518,0,0,1.6,0.7513,0.7513,0.4497,5.8341,0.3378,1.278,0.8855,0,0,0.1599,0.3361,20,0.0434,1.265,0.4209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.5514,20.1,0.1628,13.2083,0.2283,0.9425,0.0332,0,0,46.8432,0.3488,0,0,0.3488,0.1095,0,0,0,0,0,2.5563,0.0097,10.6,0.5055,0,8.9,0.6162,0,6.5,0.4235,0,15.8,0.3615,0,8.8,0.1298,0,0,0,17.2,0.847,0.847,0.847,0,0,7.4,0.4326,0.4326,0.4291,0,0,1,64.2727,0.934,9,0,0,1,2.125,0.5426,9,0.3175,0.165,9,0,0,0,1.6416,0.4092,2.9212,0.5879,29,0.6,1499,28.5,217,4.1,415,7.9,0,0,543,10.3,34,0.6,0,-999,-999
35,001,004726,140000US35001004726,35001004726,35001004726,Bernalillo County,New Mexico,NM,Census Tract 47.26; Bernalillo County; New Mexico,2111,415,653,0.1803,0.0099,0.1803,0.0219,0.6824,0.0297,67.3,0.778,0.778,0.778,15.5862,0.2283,4.9,0.2829,2.1,0.1819,15.2,0.2268,15.7,0.1924,10.3,0.685,4.4,0.1921,1.9894,0.1747,13.7,0.353,19.4,0.3586,11.6,0.4255,1.5,0.5373,1.6744,0.2537,0,0,0,0,0,0,4.4418,0.1408,0.547,0.6949,0,0,0.1801,0.3937,20,0.0434,1.132,0.3629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.5514,9.3,0.0878,5.8958,0.7823,1.4215,0.28,0,0,23.6188,0.2477,0,0,0.2477,0.082,0.25,0.3407,0,0.3407,0.3407,3.1419,0.0395,9.9,0.3015,0,7.4,0.4139,0,5.5,0.2297,0,14.1,0.1832,0,9.6,0.2057,0,0,0,16.4,0.7807,0.7807,0.7807,0,0,7.6,0.4665,0.4665,0.4628,0,0,1,43.5909,0.7918,9,0,0,1,2.125,0.5426,9,0.3175,0.165,9,0,0,0,1.4994,0.3417,2.7466,0.5021,54,2.6,1241,58.8,63,3,30,1.4,0,0,33,1.6,0,0,0,-999,-999
35,001,000109,140000US35001000109,35001000109,35001000109,Bernalillo County,New Mexico,NM,Census Tract 1.09; Bernalillo County; New Mexico,2383,363,2576,1.0419,0.3555,0.6419,0.2368,1.6115,0.3888,47.6,0.6435,0.6435,0.6435,24.5568,0.429,6.2,0.3661,4.4,0.4759,18.1,0.2883,16.8,0.2304,5.2,0.3836,19.5,0.8119,2.9852,0.3817,27.3,0.906,20.3,0.4157,17.8,0.7803,0,0,2.102,0.5959,0,0,1.3,0.7233,0.7233,0.4285,6.454,0.4419,1.095,0.845,0,0,0.2292,0.5272,20,0.0434,1.4156,0.4787,0,0,0,0,17.7406,0.5951,0,0,0,0,0,0,0.5951,0.267,100,0.5514,91,0.9127,15.5833,0.0614,1.5255,0.3796,0,0,0.1245,0.0956,0,0,0.0956,0.0439,0.964,0.8073,0,0.8073,0.8073,4.4391,0.2,10.6,0.5055,0,10,0.7914,1,8.5,0.7571,1,14.6,0.2302,0,10.9,0.3611,0,2,0.4,16.8,0.8091,0.8091,0.8091,0,0,7.4,0.4326,0.4326,0.4291,0,0,1,63.9545,0.9286,9,0,0,1,2.125,0.5426,9,0.3175,0.165,9,0,0,0,1.6362,0.4066,2.8779,0.5696,76,3.2,857,36,19,0.8,114,4.8,0,0,63,2.6,5,0.2,0,-999,-999
35,001,000124,140000US35001000124,35001000124,35001000124,Bernalillo County,New Mexico,NM,Census Tract 1.24; Bernalillo County; New Mexico,3913,631,6888,1.8398,0.7845,1.4398,0.8063,2.3856,0.7936,63.6,0.7557,0.7557,0.7557,48.4334,0.8357,5.7,0.3348,10.4,0.8801,73.6,0.9121,48.9,0.9415,10.9,0.7102,28.2,0.9357,5.5501,0.9131,20.1,0.695,9.4,0.054,17.9,0.7843,4.9,0.7644,2.2977,0.7466,0,0,2.5,0.8165,0.8165,0.4996,9.42,0.8973,0.913,0.805,0,0,0.6271,0.9535,30,0.4976,2.2561,0.7783,0,0,81.6812,0.7656,100,0.8446,0,0,0,0,0,0,1.6102,0.6691,100,0.5514,95.5,0.9637,15.1667,0.0842,1.5993,0.4582,0,0,100,0.6136,0,0,0.6136,0.2271,0,0,0,0,0,6.0792,0.5425,11.4,0.7278,1,7.9,0.477,0,8.2,0.7153,1,17.9,0.6122,0,12.8,0.5925,0,2,0.4,16.2,0.767,0.767,0.767,0,0,7.5,0.4476,0.4476,0.444,0,0,1,61.0909,0.9072,9,0,0,1,2.125,0.5426,9,0.3175,0.165,9,0,0,0,1.6148,0.3954,2.8294,0.5458,247,6.3,2011,51.4,9,0.2,148,3.8,0,0,75,1.9,0,0,0,-999,-999
35,001,000501,140000US35001000501,35001000501,35001000501,Bernalillo County,New Mexico,NM,Census Tract 5.01; Bernalillo County; New Mexico,2779,480,4623,1.565,0.6562,0.965,0.4885,2.0995,0.6608,62.7,0.7495,0.7495,0.7495,59.1814,0.9241,5,0.2895,3.4,0.3511,62.2,0.8465,24.7,0.5113,4.2,0.3017,23.1,0.8794,4.1036,0.6468,31.9,0.9519,15.4,0.1695,28.2,0.9751,2.8,0.659,2.7555,0.9533,0,0,3,0.8419,0.8419,0.5201,8.4505,0.7757,0.822,0.7854,0,0,0.6164,0.9515,30,0.4976,2.2345,0.7712,0,0,65.49,0.7126,0,0,0,0,0,0,0,0,0.7126,0.3137,100,0.5514,73.9,0.7077,16.8333,0.02,1.2791,0.1722,0,0,7.6911,0.1496,0,0,0.1496,0.0587,0,0,0,0,0,4.3758,0.1893,11.7,0.7893,1,8.9,0.6162,0,10.1,0.9155,1,18.2,0.6445,0,15.2,0.8011,1,3,0.6,16.2,0.767,0.767,0.767,0,0,7.5,0.4476,0.4476,0.444,0,0,1,58.8636,0.8857,9,0,0,1,2.125,0.5426,9,0.3175,0.165,9,0,0,0,1.5933,0.3842,2.8079,0.5345,113,4.1,1205,43.4,86,3.1,218,7.8,0,0,121,4.4,0,0,0,-999,-999
35,001,000718,140000US35001000718,35001000718,35001000718,Bernalillo County,New Mexico,NM,Census Tract 7.18; Bernalillo County; New Mexico,4032,501,4527,1.0216,0.3428,1.0216,0.535,1.5594,0.3609,65.7,0.7684,0.7684,0.7684,31.99,0.5854,14.5,0.7235,5.9,0.633,24,0.4047,32.5,0.7211,17.1,0.8792,17.8,0.7696,4.7165,0.7749,18,0.591,15.9,0.187,16.8,0.7369,6.1,0.8022,2.3171,0.7597,16.3,0.8628,0,0,0.8628,0.5387,8.6648,0.8061,0.913,0.805,0,0,0.2141,0.4892,20,0.0434,1.3376,0.4504,0,0,100,0.8598,58.4153,0.7191,0,0,0,0,0,0,1.5789,0.6551,100,0.5514,41,0.3437,14.8889,0.1008,0.9959,0.0456,0,0,100,0.6136,0,0,0.6136,0.2271,0,0,0,0,0,4.526,0.2155,10.9,0.595,0,7.5,0.4256,0,6.6,0.4422,0,16.7,0.4718,0,10.5,0.3098,0,0,0,16.8,0.8091,0.8091,0.8091,0,0,7.3,0.4136,0.4136,0.4103,0,0,1,58.5455,0.8844,9,0,0,1,2.125,0.5426,9,0.3175,0.165,9,0,0,0,1.592,0.3838,2.8147,0.5378,70,1.7,2008,49.8,137,3.4,83,2.1,0,0,326,8.1,26,0.6,0,-999,-999
35,005,000201,140000US35005000201,35005000201,35005000201,Chaves County,New Mexico,NM,Census Tract 2.01; Chaves County; New Mexico,3396,720,6621,1.6186,0.6832,1.2186,0.6785,2.1881,0.7047,65.2,0.7655,0.7655,0.7655,43.8479,0.7805,23,0.8814,6.7,0.6984,40,0.6403,23.1,0.4585,9.3,0.6399,23.5,0.8855,4.9845,0.8249,9.8,0.1679,31.7,0.9337,15.9,0.6935,6,0.7997,2.5948,0.9048,0,0,1.2,0.7129,0.7129,0.4204,9.0577,0.8557,0.639,0.727,0,0,0.1432,0.2884,20,0.0434,1.0588,0.3326,96.7198,0.9942,0,0,0,0,0,0,0,0,0,0,0.9942,0.4384,100,0.5514,95.6,0.9649,10.2917,0.4073,1.9236,0.7482,67.6188,0.6683,99.9987,0.6124,0,0,1.2807,0.6141,0,0,0,0,0,5.2573,0.3629,11.6,0.7701,1,6.5,0.3101,0,7.2,0.5546,0,19.2,0.7423,1,12.9,0.6034,0,2,0.4,17.6,0.8765,0.8765,0.8765,0,0,7.8,0.4978,0.4978,0.4939,0,0,1,63.9545,0.9286,9,0.01,0.1057,9,1.3333,0.3228,9,0.2488,0.1462,9,0,0,0,1.5033,0.343,2.8776,0.5695,66,1.9,2067,60.9,0,0,0,0,0,0,41,1.2,40,1.2,0,-999,-999
35,006,974401,140000US35006974401,35006974401,35006974401,Cibola County,New Mexico,NM,Census Tract 9744.01; Cibola County; New Mexico,674,174,2879,1.6533,0.7005,1.2533,0.7012,1.8558,0.5288,66.8,0.7752,0.7752,0.7752,37.537,0.6857,17.6,0.7964,0,0,49.7,0.7449,13.9,0.1376,20.3,0.9227,41.9,0.9892,4.2765,0.6842,19.1,0.6476,4.2,0.0214,37.4,0.9965,0,0,1.6655,0.248,6.9,0.7414,4.6,0.8953,1.6367,0.9427,8.3539,0.7617,0.365,0.6153,0,0,0.1088,0.184,10,0.001,0.8003,0.2165,40.1049,0.976,0,0,0,0,0,0,0,0,0,0,0.976,0.4315,97.0151,0.604,87.7,0.8722,7.4722,0.6167,2.0929,0.8565,72.8145,0.6854,74.6061,0.4526,0.9599,0.8366,1.9746,0.942,0,0,0,0,0,5.8438,0.4916,11.1,0.652,0,7.6,0.4384,0,9,0.8199,1,18,0.6235,0,16,0.845,1,2,0.4,15.4,0.711,0.711,0.711,0,0,7.6,0.4665,0.4665,0.4628,0,0,1,38.8182,0.77,9,0,0,1,0.9583,0.2024,9,0.2042,0.1271,9,0,0,0,1.0995,0.1949,2.277,0.2025,0,0,285,42.3,0,0,116,17.2,6,0.9,43,6.4,0,0,0,-999,-999
